,Unnamed: 0,名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,URL,沿線,駅,徒歩
0,0,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,4.0,4階建,4階,11.9,1.0,0.0,0.0,ワンルーム,24.4,https://suumo.jp/chintai/jnc_000076002819/,東急目黒線,武蔵小山駅,21
1,1,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,4.0,4階建,4階,18.3,0.0,0.0,0.0,2DK,40.75,https://suumo.jp/chintai/jnc_000086717111/,東急目黒線,武蔵小山駅,21
2,2,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,4.0,4階建,4階,18.3,1.2,0.0,0.0,1LDK,40.75,https://suumo.jp/chintai/jnc_000085963153/,東急目黒線,武蔵小山駅,21
3,3,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,4.0,4階建,1階,19.7,1.2,0.0,0.0,1SLDK,45.66,https://suumo.jp/chintai/jnc_000086509846/,東急目黒線,武蔵小山駅,21
4,4,PASEO目黒,賃貸マンション,東京都目黒区下目黒２,東急目黒線/武蔵小山駅 歩21分,4.0,4階建,1階,20.2,1.2,0.0,0.0,2LDK,45.66,https://suumo.jp/chintai/jnc_000076540745/,東急目黒線,武蔵小山駅,21
5,5,東急東横線 学芸大学駅 2階建 築2年,賃貸アパート,東京都目黒区五本木３,東急東横線/学芸大学駅 歩7分,2.0,2階建,2階,18.0,0.3,0.0,18.0,2LDK,58.03,https://suumo.jp/chintai/jnc_000086747277/,東急東横線,学芸大学駅,7
6,6,東急東横線 学芸大学駅 2階建 築2年,賃貸アパート,東京都目黒区五本木３,東急東横線/祐天寺駅 歩13分,2.0,2階建,2階,18.0,0.3,0.0,18.0,2LDK,58.03,https://suumo.jp/chintai/jnc_000086747277/,東急東横線,祐天寺駅,13
7,7,東急東横線 学芸大学駅 2階建 築2年,賃貸アパート,東京都目黒区五本木３,東急田園都市線/三軒茶屋駅 歩26分,2.0,2階建,2階,18.0,0.3,0.0,18.0,2LDK,58.03,https://suumo.jp/chintai/jnc_000086747277/,東急田園都市線,三軒茶屋駅,26
8,8,LIBR GRANT 都立大学,賃貸マンション,東京都目黒区中根２,東急東横線/都立大学駅 歩7分,4.0,3階建,3階,25.4,1.5,25.4,25.4,2LDK,51.44,https://suumo.jp/chintai/jnc_000086509862/,東急東横線,都立大学駅,7
9,9,LIBR GRANT 都立大学,賃貸マンション,東京都目黒区中根２,東急東横線/自由が丘駅 歩15分,4.0,3階建,3階,25.4,1.5,25.4,25.4,2LDK,51.44,https://suumo.jp/chintai/jnc_000086509862/,東急東横線,自由が丘駅,15
10,10,LIBR GRANT 都立大学,賃貸マンション,東京都目黒区中根２,東急大井町線/緑が丘駅 歩15分,4.0,3階建,3階,25.4,1.5,25.4,25.4,2LDK,51.44,https://suumo.jp/chintai/jnc_000086509862/,東急大井町線,緑が丘駅,15
11,11,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,東急東横線/学芸大学駅 歩9分,15.0,4階建,1階,12.8,0.0,12.8,12.8,ワンルーム,35.91,https://suumo.jp/chintai/jnc_000047500337/,東急東横線,学芸大学駅,9
12,12,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,東急東横線/学芸大学駅 歩9分,15.0,4階建,1階,12.8,1.0,12.8,0.0,ワンルーム,35.91,https://suumo.jp/chintai/jnc_000083411095/,東急東横線,学芸大学駅,9
13,13,NTPRレジデンス鷹番,賃貸マンション,東京都目黒区鷹番１,東急東横線/学芸大学駅 歩9分,15.0,4階建,2階,12.9,1.0,12.9,12.9,ワンルーム,35.91,https://suumo.jp/chintai/jnc_000085040197/,東急東横線,学芸大学駅,9
